지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2016-09-26,23.6,19.7,609,28.9,1445,,,,,,
108,서울,2016-09-27,21,19.1,2352,23.8,1031,14.5,1,1343,4,1341,13.5
108,서울,2016-09-28,19.9,18.7,450,21.8,1552,3.25,.5,1,.5,1,.5
108,서울,2016-09-29,20.4,18.2,435,24.8,1333,,,,,,
108,서울,2016-09-30,20.5,17.7,536,23.5,1406,,,,,,
108,서울,2016-10-01,21.1,17.5,617,25.6,1602,,,,,,
108,서울,2016-10-02,19,16.7,1759,22.4,2349,13.83,2,1225,6.5,1700,18.5
108,서울,2016-10-03,22.7,19.6,2358,27.9,1538,7.17,1,608,2,558,6.5
108,서울,2016-10-04,22,15.6,656,29,1501,,,,,,
108,서울,2016-10-05,21.1,17.5,2357,27.2,1429,,,,,,
108,서울,2016-10-06,18,13.6,659,23.5,1517,,,,,,
108,서울,2016-10-07,19.7,16.5,1,24.8,1411,7.5,.5,1740,1,2258,2
108,서울,2016-10-08,16.8,10.3,2357,21.8,1410,6.92,.5,1,2.5,6,6
108,서울,2016-10-09,11.3,6.5,635,16.6,1445,,,,,,
108,서울,2016-10-10,14,7.4,626,21.4,1525,,,,,,
108,서울,2016-10-11,15.4,10,554,21.1,1500,,,,,,
108,서울,2016-10-12,15.5,11.4,723,20.7,1531,,,,,,
108,서울,2016-10-13,15.2,9.3,656,21.9,1503,,,,,,
108,서울,2016-10-14,16.7,10.5,615,23.5,1351,,,,,,
108,서울,2016-10-15,19.1,12.4,640,27.1,1504,,,,,,
108,서울,2016-10-16,17.2,15.4,2349,19.5,1302,6.62,.5,1449,.5,1359,1.5
108,서울,2016-10-17,17.5,14.5,138,21.7,1311,,,,,,
108,서울,2016-10-18,17,11.2,701,24,1439,,,,,,
108,서울,2016-10-19,18,14,716,24.3,1339,,,,,,
108,서울,2016-10-20,18.6,12.9,704,25.8,1500,,,,,,
108,서울,2016-10-21,17.9,15.7,614,22,1335,,,,,,
108,서울,2016-10-22,18.3,14.5,733,22.8,1503,,,,,,
108,서울,2016-10-23,13.3,10.6,1730,17.8,1,7.42,.5,1455,1.5,1503,2.5
108,서울,2016-10-24,15.1,9,647,20.6,1533,,,,,,
108,서울,2016-10-25,14.1,12.5,636,17.5,1655,10.17,2.5,716,10,715,37
108,서울,2016-10-26,13.3,10.5,537,16.3,1244,.75,0,,0,,0
108,서울,2016-10-27,14.6,8.6,536,20.9,1420,,,,,,
108,서울,2016-10-28,14.6,10.2,2357,18.4,1223,4.5,.1,,.2,,.3
108,서울,2016-10-29,7.8,3.5,2355,11.2,1349,,,,,,
108,서울,2016-10-30,7.9,1.6,723,15.1,1438,,,,,,
108,서울,2016-10-31,5.7,.7,2359,8.2,1435,3.92,.1,,.3,646,.5
108,서울,2016-11-01,1.5,-2.4,750,6.6,1449,,,,,,
108,서울,2016-11-02,4.1,-2.7,556,10.5,1323,3.57,,,,,.1
108,서울,2016-11-03,9.1,4.2,458,14.1,1433,2.33,,,,,.2
108,서울,2016-11-04,12.3,8.2,701,15.7,1240,.33,,,,,0
108,서울,2016-11-05,15,12.2,315,18.1,1450,.25,,,,,0
108,서울,2016-11-06,14,11.9,724,18.3,1400,,,,,,
108,서울,2016-11-07,12.8,8.5,2359,17.8,1229,6.25,,,,,5.5
108,서울,2016-11-08,4.1,.4,2354,8.4,1,1.25,,,,,.5
108,서울,2016-11-09,2.1,-3.2,714,8.6,1454,,,,,,
108,서울,2016-11-10,6,1.5,245,9.8,1457,1.08,,,,,.4
108,서울,2016-11-11,9.1,6.2,705,14.2,1457,3.92,,,,,4
108,서울,2016-11-12,11.4,5.1,707,16.7,1321,,,,,,
108,서울,2016-11-13,14.4,12.1,716,18.1,1421,1.13,,,,,.5
108,서울,2016-11-14,13.2,10.2,2359,15.8,1102,6.33,,,,,1.5
108,서울,2016-11-15,5.2,2.5,2348,10.2,1,,,,,,
108,서울,2016-11-16,5.2,0,722,12,1446,,,,,,
108,서울,2016-11-17,9.1,4,259,16.5,1458,,,,,,
108,서울,2016-11-18,10.3,4.9,624,14.6,1440,2.5,,,,,0
108,서울,2016-11-19,13,9.9,652,18.6,1342,3.33,,,,,0
108,서울,2016-11-20,9.8,6.4,741,15.3,1549,,,,,,
108,서울,2016-11-21,9.5,5.1,324,14.6,1430,,,,,,
108,서울,2016-11-22,2,-2.1,2342,8.4,1,1.25,,,,,.2
108,서울,2016-11-23,-1.8,-4.8,751,3.6,1412,,,,,,
108,서울,2016-11-24,-2.5,-6.2,628,2.4,1535,,,,,,
108,서울,2016-11-25,1,-3.5,1,6,1453,,,,,,
108,서울,2016-11-26,.9,-.7,323,2.7,1153,7.52,,,,,2.8
108,서울,2016-11-27,3.3,.5,744,6.6,1525,2,,,,,0
108,서울,2016-11-28,1.4,-1.4,726,5.6,1522,,,,,,
108,서울,2016-11-29,1.7,-2.8,509,8.6,1528,,,,,,
108,서울,2016-11-30,6,.7,3,9.8,1434,2.42,,,,,1
108,서울,2016-12-01,4.1,-1,2358,7,26,,,,,,
108,서울,2016-12-02,1.6,-3.5,719,7.9,1533,,,,,,
108,서울,2016-12-03,4.5,-.7,455,11.3,1423,,,,,,
108,서울,2016-12-04,5.5,2,721,9.5,1416,,,,,,
108,서울,2016-12-05,5.9,.5,2357,10.3,1408,1.55,,,,,1.5
108,서울,2016-12-06,-1.1,-4.2,733,4.3,1433,,,,,,
108,서울,2016-12-07,1.7,-2.7,119,7.5,1329,3.08,,,,,0
108,서울,2016-12-08,2.1,-3,742,6.1,1447,4.93,,,,,3
108,서울,2016-12-09,1.4,-2.9,2300,4.2,1416,1.92,,,,,3
108,서울,2016-12-10,-1.6,-5.9,723,3.6,1423,,,,,,
108,서울,2016-12-11,-1.1,-6.1,742,6.4,1536,,,,,,
108,서울,2016-12-12,2.3,-3,21,6.3,1449,,,,,,
108,서울,2016-12-13,3.4,-.4,2357,8.8,1301,,,,,,
108,서울,2016-12-14,-1.4,-2.3,2359,-.1,1619,3.95,,,,,.1
108,서울,2016-12-15,-5,-7.6,754,-1.5,1459,,,,,,
108,서울,2016-12-16,-4.7,-9.8,752,0,1429,,,,,,
108,서울,2016-12-17,2.7,-2.7,339,8,1514,1.25,,,,,0
108,서울,2016-12-18,4.9,2.7,406,8.1,1452,,,,,,
108,서울,2016-12-19,7.2,4.3,100,12,1501,3.17,,,,,.1
108,서울,2016-12-20,7.6,4.4,826,13.6,1443,,,,,,
108,서울,2016-12-21,7.9,4.1,350,12.6,1323,8.92,,,,,29
108,서울,2016-12-22,5.5,1.5,2347,11,530,18.83,,,,,23.5
108,서울,2016-12-23,-2.5,-4.4,2254,1.5,1,13.53,,,,,.1
108,서울,2016-12-24,-2.4,-4.3,1,1.1,1422,,,,,,
108,서울,2016-12-25,1,-4.5,800,6.4,1352,,,,,,
108,서울,2016-12-26,2.5,1.3,2349,4.4,1353,2.58,,,,,0
108,서울,2016-12-27,-2.3,-6.3,2357,1.3,1,4.67,,,,,.5
108,서울,2016-12-28,-3.7,-8.4,614,2.6,1435,,,,,,
108,서울,2016-12-29,-4.2,-7.2,2356,-1.1,1531,2.5,,,,,.3
108,서울,2016-12-30,-3.9,-9.1,556,1,1439,,,,,,
108,서울,2016-12-31,.7,-3.6,454,5.7,1535,.42,,,,,0
108,서울,2017-01-01,2.7,-1.6,540,6.9,1419,,,,,,
108,서울,2017-01-02,5,1.8,2355,9.2,1355,2.08,,,,,.3
108,서울,2017-01-03,2,-2.3,731,7.7,1444,,,,,,
108,서울,2017-01-04,3.9,1,1,8.9,1519,,,,,,
108,서울,2017-01-05,3.8,-.1,316,7.3,1444,,,,,,
108,서울,2017-01-06,5.4,2.5,804,11.4,1548,,,,,,
108,서울,2017-01-07,4.6,0,815,10.5,1327,,,,,,
108,서울,2017-01-08,6.5,4,458,10.9,1350,2.25,,,,,0
108,서울,2017-01-09,1.5,-3.1,2357,4.3,1454,1.17,,,,,0
108,서울,2017-01-10,-3.7,-7.4,2349,1.1,1309,,,,,,
108,서울,2017-01-11,-3.8,-9.4,745,1.5,1405,,,,,,
108,서울,2017-01-12,-2.2,-6.1,2353,1,1355,1.67,,,,,0
108,서울,2017-01-13,-6,-8.6,2250,-1.4,1500,3.42,,,,,.6
108,서울,2017-01-14,-8.4,-10.5,759,-5.4,1437,,,,,,
108,서울,2017-01-15,-6.6,-11.5,748,-.9,1548,,,,,,
108,서울,2017-01-16,-3.8,-8.9,719,4,1442,,,,,,
108,서울,2017-01-17,-2,-7.1,736,3.4,1519,,,,,,
108,서울,2017-01-18,-.5,-3,757,2.8,1511,.83,,,,,0
108,서울,2017-01-19,-1.2,-4.9,741,4.7,1505,,,,,,
108,서울,2017-01-20,-4.4,-7.8,2357,-1.4,1,6.75,,,,,4
108,서울,2017-01-21,-5.2,-10,641,-.9,1248,6.72,,,,,2.1
108,서울,2017-01-22,-8.3,-10.9,2331,-3.3,1,.42,,,,,0
108,서울,2017-01-23,-8.9,-12.6,548,-4.1,1552,,,,,,
108,서울,2017-01-24,-7,-11.6,419,-1.3,1530,,,,,,
108,서울,2017-01-25,-5.2,-10.2,650,.9,1509,,,,,,
108,서울,2017-01-26,-1.3,-7.9,624,3.4,1419,.83,,,,,.3
108,서울,2017-01-27,-2.6,-5.7,2348,3.1,1,1.67,,,,,3
108,서울,2017-01-28,-1.6,-8.2,649,4.3,1354,,,,,,
108,서울,2017-01-29,.8,-.9,2346,2.5,1029,13.2,,,,,4.5
108,서울,2017-01-30,-4.8,-7.9,2354,-.9,1,1.58,,,,,.1
108,서울,2017-01-31,-5.4,-9.9,422,.2,1510,,,,,,
108,서울,2017-02-01,-4,-7.5,2357,.7,1422,,,,,,
108,서울,2017-02-02,-2.7,-9.2,659,3.3,1511,,,,,,
108,서울,2017-02-03,1.5,-2.3,721,6.7,1445,,,,,,
108,서울,2017-02-04,.9,-2.9,646,3.2,1422,,,,,,
108,서울,2017-02-05,1.2,-1.5,2352,2.3,1,9.95,,,,,.5
108,서울,2017-02-06,-1.7,-4.4,744,2.6,1644,,,,,,
108,서울,2017-02-07,-2,-5.6,631,3,1512,,,,,,
108,서울,2017-02-08,-2.2,-4.9,622,.6,1351,,,,,,
108,서울,2017-02-09,-5.3,-7.1,2353,-2.1,1332,,,,,,
108,서울,2017-02-10,-6.6,-9.3,709,-2.5,1520,,,,,,
108,서울,2017-02-11,-4.8,-9.2,451,.8,1514,,,,,,
108,서울,2017-02-12,-2.2,-7.4,706,4.2,1437,,,,,,
108,서울,2017-02-13,.1,-5.4,709,6.1,1440,,,,,,
108,서울,2017-02-14,.3,-4,759,6.5,1506,,,,,,
108,서울,2017-02-15,1.8,-3.9,733,8,1524,,,,,,
108,서울,2017-02-16,5.5,-1.9,727,10.3,2001,1.12,,,,,0
108,서울,2017-02-17,.8,-5.2,2356,9,1,5.17,,,,,4
108,서울,2017-02-18,-2.6,-7,624,2.9,1524,,,,,,
108,서울,2017-02-19,2.3,-3.4,647,5.7,1715,8.62,,,,,1
108,서울,2017-02-20,-1.5,-5.2,2353,5.4,2,3.08,,,,,.5
108,서울,2017-02-21,-.6,-7.6,712,6.9,1539,,,,,,
108,서울,2017-02-22,1.7,-.9,2353,2.9,913,10.92,,,,,5.1
108,서울,2017-02-23,-1.5,-4.2,2348,2.1,1448,,,,,,
108,서울,2017-02-24,-.8,-5.8,558,4.4,1412,,,,,,
108,서울,2017-02-25,2.6,-2.8,707,8.4,1522,,,,,,
108,서울,2017-02-26,3.6,-1.5,712,10.1,1443,,,,,,
108,서울,2017-02-27,3.7,-1.8,730,10.7,1416,,,,,,
108,서울,2017-02-28,5.6,-1.3,717,12.3,1504,,,,,,
108,서울,2017-03-01,5,2,2321,11.4,1300,7.67,,,,,5
108,서울,2017-03-02,1.8,-1.1,2358,6.6,1646,2.92,,,,,.5
108,서울,2017-03-03,3.3,-3.1,715,10.4,1445,,,,,,
108,서울,2017-03-04,5.7,.1,651,12.7,1452,,,,,,
108,서울,2017-03-05,5.2,1.2,715,10.4,1433,3.17,,,,,.5
108,서울,2017-03-06,.1,-2.8,649,4,1,,,,,,
108,서울,2017-03-07,-1.3,-4,707,2.9,1541,.42,,,,,0
108,서울,2017-03-08,-.1,-5.3,508,5,1309,.58,,,,,0
108,서울,2017-03-09,3.2,-2.7,409,10.7,1534,,,,,,
108,서울,2017-03-10,4.8,-1.2,648,12.2,1518,,,,,,
108,서울,2017-03-11,7.3,-.2,713,16.7,1508,,,,,,
108,서울,2017-03-12,8.2,4.4,659,14,1433,1.25,,,,,0
108,서울,2017-03-13,6.9,1.5,710,12.2,1518,,,,,,
108,서울,2017-03-14,5.8,1,701,10.9,1537,,,,,,
108,서울,2017-03-15,6.3,.4,652,13.3,1502,,,,,,
108,서울,2017-03-16,6.2,1,701,13.4,1559,,,,,,
108,서울,2017-03-17,7.7,1.2,709,15.7,1602,,,,,,
108,서울,2017-03-18,9.5,5.9,530,16.1,1305,,,,,,
108,서울,2017-03-19,10.9,3.2,642,18.9,1424,,,,,,
108,서울,2017-03-20,10.2,6,526,15.5,1503,,,,,,
108,서울,2017-03-21,7.4,4.3,705,12.6,1727,,,,,,
108,서울,2017-03-22,7.6,1.9,623,14.1,1519,,,,,,
108,서울,2017-03-23,9.1,5.1,648,15,1420,,,,,,
108,서울,2017-03-24,8.7,3.9,625,15.2,1520,,,,,,
108,서울,2017-03-25,8.1,5,2359,12.6,1250,,,,,,
108,서울,2017-03-26,7.3,4.8,610,11.6,1312,,,,,,
108,서울,2017-03-27,6.1,4.4,649,10.9,1423,2.58,,,,,.4
108,서울,2017-03-28,7.1,2.5,447,12.7,1408,,,,,,
108,서울,2017-03-29,8.8,4.7,452,14.4,1450,,,,,,
108,서울,2017-03-30,10.6,4.1,638,17.1,1404,,,,,,
108,서울,2017-03-31,8.6,4.9,2347,12.4,1036,9.17,,,,,1.5
108,서울,2017-04-01,9,4.8,7,15.1,1450,.67,1,1534,1,1530,1
108,서울,2017-04-02,9,3.1,534,15.8,1512,,,,,,
108,서울,2017-04-03,11.4,4.3,630,19.2,1514,,,,,,
108,서울,2017-04-04,14.1,6.7,633,21.8,1413,,,,,,
108,서울,2017-04-05,12,10.8,1635,14.2,1210,15.5,2.5,2321,8.5,2231,37.5
108,서울,2017-04-06,10.4,9.4,835,12.4,1,9.17,.5,1,2,1,3
108,서울,2017-04-07,14.5,9,323,23.5,1539,,,,,,
108,서울,2017-04-08,13,8.6,647,19.9,1546,1.83,.2,,.5,2238,.5
108,서울,2017-04-09,14.8,10.6,627,20.5,1434,3.75,.5,58,.5,8,.5
108,서울,2017-04-10,16.5,10.1,636,23.3,1609,,,,,,
108,서울,2017-04-11,15.3,11.5,2357,20.2,1440,,,,,,
108,서울,2017-04-12,11.5,8.8,2328,16.4,1433,,,,,,
108,서울,2017-04-13,12.7,6.3,604,19.6,1539,.42,0,,0,,0
108,서울,2017-04-14,13,10.1,559,17.7,1033,4.58,2,1303,5.5,1228,6
108,서울,2017-04-15,16.8,10.9,305,24.3,1436,,,,,,
108,서울,2017-04-16,18.7,12.9,639,24.4,1417,,,,,,
108,서울,2017-04-17,14.7,11.2,2356,18,1033,5.83,.5,1131,2.5,1304,5.5
108,서울,2017-04-18,11.7,9.4,2347,17.4,1109,3.5,2.5,1217,3,1205,7.5
108,서울,2017-04-19,12.6,7,457,18.4,1506,,,,,,
108,서울,2017-04-20,12.9,9.9,606,18.2,1403,.42,.1,,.1,,.1
108,서울,2017-04-21,13.1,7.6,536,19.3,1326,,,,,,
108,서울,2017-04-22,14.8,8.5,517,22.5,1509,,,,,,
108,서울,2017-04-23,14.9,8.9,544,21.7,1521,,,,,,
108,서울,2017-04-24,15.1,8.3,552,21.3,1308,,,,,,
108,서울,2017-04-25,16,12.9,637,20.4,1242,,,,,,
108,서울,2017-04-26,15.1,10.5,643,20.2,1410,,,,,,
108,서울,2017-04-27,13.6,7.9,547,19.8,1429,,,,,,
108,서울,2017-04-28,14.4,8.9,605,21.5,1317,,,,,,
108,서울,2017-04-29,17.1,9.6,545,23.7,1503,,,,,,
108,서울,2017-04-30,19.3,13.7,530,27.8,1416,,,,,,
108,서울,2017-05-01,20.1,12.8,552,28.3,1525,,,,,,
108,서울,2017-05-02,20.7,15.2,538,28,1435,,,,,,
108,서울,2017-05-03,21.5,14.5,613,30.2,1455,,,,,,
108,서울,2017-05-04,21,14.8,552,27.5,1416,,,,,,
108,서울,2017-05-05,20.9,15.5,2400,27,1418,,,,,,
108,서울,2017-05-06,14.9,10,601,19.3,1247,,,,,,
108,서울,2017-05-07,16.6,10.9,534,22.8,1528,,,,,,
108,서울,2017-05-08,17.9,11.1,536,23.5,1336,,,,,,
108,서울,2017-05-09,17.1,15.3,510,22.6,1356,7.67,.5,1611,1.5,1614,2.5
108,서울,2017-05-10,16.4,14.2,723,20.8,1645,6,.5,353,1,346,2.5
108,서울,2017-05-11,19.3,13.1,411,24.8,1652,.75,0,,0,,0
108,서울,2017-05-12,19.1,16.8,2358,21.1,1222,,,,,,
108,서울,2017-05-13,16.4,12.4,2400,22.6,1155,1.75,3.5,1445,6,1414,6
108,서울,2017-05-14,15.7,11,604,20.7,1526,,,,,,
108,서울,2017-05-15,16,12.3,401,20.1,1348,.42,0,,0,,0
108,서울,2017-05-16,17.1,13.3,430,22.3,1515,,,,,,
108,서울,2017-05-17,18.6,12.3,538,25.9,1506,,,,,,
108,서울,2017-05-18,20.4,13.9,446,26.9,1533,,,,,,
108,서울,2017-05-19,21.1,15.1,541,27.9,1444,,,,,,
108,서울,2017-05-20,20.9,15.4,522,27.3,1314,,,,,,
108,서울,2017-05-21,21.5,16,514,27.6,1453,,,,,,
108,서울,2017-05-22,21.8,15.9,532,28,1432,,,,,,
108,서울,2017-05-23,20,17.2,413,24.4,1140,4.33,1.5,1921,4,1837,5
108,서울,2017-05-24,21.8,16.9,614,27.8,1545,.67,.1,,.1,,.1
108,서울,2017-05-25,19.2,14.4,2352,24.4,1357,,,,,,
108,서울,2017-05-26,17.7,12.4,406,23.2,1633,,,,,,
108,서울,2017-05-27,19.5,13.7,528,26.4,1424,,,,,,
108,서울,2017-05-28,21.2,14.4,450,27.9,1508,,,,,,
108,서울,2017-05-29,22.9,18.1,430,29.3,1434,,,,,,
108,서울,2017-05-30,23.6,18.6,420,30.3,1440,,,,,,
108,서울,2017-05-31,23.3,17.7,456,29.6,1622,,,,,,
108,서울,2017-06-01,23.3,20,2357,27,1249,,,,,,
108,서울,2017-06-02,20.5,15.5,530,25.6,1329,.92,0,,0,,0
108,서울,2017-06-03,20.5,16.1,533,26.5,1614,,,,,,
108,서울,2017-06-04,21.7,15.1,533,28.1,1541,,,,,,
108,서울,2017-06-05,24.2,16.4,536,30.3,1655,.5,0,,0,,0
108,서울,2017-06-06,19.4,14.5,2103,23.9,1341,10.75,3,2030,8.5,2010,15.5
108,서울,2017-06-07,17.6,15.1,1,19.2,1339,14.58,2,-2356,4,-2349,12.5
108,서울,2017-06-08,20.1,15.1,425,25.9,1412,,,,,,
108,서울,2017-06-09,21.2,17.9,133,25.7,1412,1.08,.1,,.1,,.1
108,서울,2017-06-10,21.5,16.7,646,27.5,1609,3.83,1.5,549,4,513,4.5
108,서울,2017-06-11,22.8,14.8,553,29.6,1608,,,,,,
108,서울,2017-06-12,22.1,17,531,28,1554,,,,,,
108,서울,2017-06-13,21.5,18.3,458,25.9,1533,.33,0,,0,,0
108,서울,2017-06-14,21.8,17.8,458,26.8,1458,,,,,,
108,서울,2017-06-15,23.1,18,505,29.6,1503,,,,,,
108,서울,2017-06-16,25.5,20,505,32.7,1448,,,,,,
108,서울,2017-06-17,24.2,20.6,610,29.9,1551,,,,,,
108,서울,2017-06-18,24.3,18.6,506,31.8,1442,,,,,,
108,서울,2017-06-19,24.8,19.5,437,30.2,1526,,,,,,
108,서울,2017-06-20,26,20,513,32.7,1340,1.83,0,,0,,0
108,서울,2017-06-21,25.4,21.7,2351,31.6,1404,.75,0,,0,,0
108,서울,2017-06-22,25.3,21.2,137,30.4,1351,,,,,,
108,서울,2017-06-23,26.7,21.3,543,34.1,1340,,,,,,
108,서울,2017-06-24,24.5,21.5,2358,27.8,1139,9.17,1,2321,2.5,2245,3.5
108,서울,2017-06-25,23.8,21,443,28.4,1337,3.42,.5,1639,.9,1555,1.5
108,서울,2017-06-26,23.1,20.1,901,29.9,1508,8.5,4.5,852,17,815,29
108,서울,2017-06-27,25.2,20.8,412,30.5,1515,.67,0,,0,,0
108,서울,2017-06-28,26,22.5,440,30.5,1554,,,,,,
108,서울,2017-06-29,26.2,21.9,532,31.5,1522,,,,,,
108,서울,2017-06-30,25.9,22.2,451,30.9,1445,,,,,,
108,서울,2017-07-01,25.3,22.4,558,30.7,1448,4.25,.5,1949,.5,1859,.5
108,서울,2017-07-02,24.3,21.9,2358,26.8,1332,21.33,16,2331,43,2247,92
108,서울,2017-07-03,24.7,21.9,5,27.4,1332,9.08,15,30,53,5,67.5
108,서울,2017-07-04,26.7,23.8,552,31.6,1436,4,.5,320,.5,305,.5
108,서울,2017-07-05,27.4,23.3,415,32.6,1708,,,,,,
108,서울,2017-07-06,27.6,23.9,532,34.6,1519,1.95,11,1804,25,1750,34
108,서울,2017-07-07,26.4,24.4,524,28.4,1415,10.67,4.5,1950,9,1900,16.5
108,서울,2017-07-08,26,24.6,851,27.6,1432,8.17,1.5,610,1.5,535,4.5
108,서울,2017-07-09,26.3,23.8,2359,30.3,1436,11.1,8,219,8,210,32.5
108,서울,2017-07-10,24,22.6,2223,25.4,1000,21.08,9,1937,32,1935,144.5
108,서울,2017-07-11,26,22.2,436,30.9,1530,2.25,.5,1,1,1,1
108,서울,2017-07-12,27.1,24.9,2358,31.1,1609,3.92,0,,0,,0
108,서울,2017-07-13,27.6,23.1,531,32.1,1446,,,,,,
108,서울,2017-07-14,28.7,26.1,556,33,1409,.5,0,,0,,0
108,서울,2017-07-15,25,23.4,523,27.3,1,15.67,8,447,17.5,416,42.5
108,서울,2017-07-16,26.2,23.4,446,28.8,1439,7.08,5,415,12.5,411,22.5
108,서울,2017-07-17,26.8,24,2340,29,1146,2.17,5,1337,6.5,1335,7.5
108,서울,2017-07-18,26.5,23.9,28,30.7,1644,8.83,.5,247,1,447,2.5
108,서울,2017-07-19,28.3,24.5,604,34.1,1522,,,,,,
108,서울,2017-07-20,29.9,26,437,34.9,1456,,,,,,
108,서울,2017-07-21,29.8,27.3,534,32.4,1643,,,,,,
108,서울,2017-07-22,29.3,27.5,831,32.5,1534,6.5,.2,,.4,541,.5
108,서울,2017-07-23,27,26.1,1016,28.1,1,8,11.5,945,48,1041,133.5
108,서울,2017-07-24,26.2,25.6,430,27.3,1052,3.75,1,1224,2,1204,3
108,서울,2017-07-25,29.4,24.6,538,35.4,1604,,,,,,
108,서울,2017-07-26,28.7,24.2,539,32.8,1557,,,,,,
108,서울,2017-07-27,27.1,24.9,620,29.7,1501,3.33,1.5,2321,3.5,2309,3.5
108,서울,2017-07-28,25.5,24.8,456,26.9,1734,13.25,1,843,2,428,8.5
108,서울,2017-07-29,27.2,25,107,30.1,1616,.75,0,,0,,0
108,서울,2017-07-30,27.9,24.7,449,32.6,1541,,,,,,
108,서울,2017-07-31,25.7,24.8,2359,27.1,1,10.08,.5,851,2,856,3.5
108,서울,2017-08-01,28.6,24.1,617,33,1428,3.25,1,224,1.5,135,2
108,서울,2017-08-02,30,26.6,531,33,1619,,,,,,
108,서울,2017-08-03,30.2,27.2,610,33.9,1518,,,,,,
108,서울,2017-08-04,30.3,25.9,600,35.3,1639,,,,,,
108,서울,2017-08-05,31.4,27.6,555,34.8,1622,.25,0,,0,,0
108,서울,2017-08-06,29.8,28.2,1051,34,1639,1.33,5,1033,5,1025,5
108,서울,2017-08-07,29.2,26.4,444,34.4,1523,,,,,,
108,서울,2017-08-08,28.2,25.5,620,31,1753,,,,,,
108,서울,2017-08-09,27.6,24.6,2359,32,1545,3.83,1,2303,2,2248,2.5
108,서울,2017-08-10,24.8,23.9,510,26.3,1517,21,.5,1,1.5,27,5.5
108,서울,2017-08-11,27,23.9,248,32.4,1608,2,.5,650,.5,650,.5
108,서울,2017-08-12,27.8,23.2,545,32.6,1346,,,,,,
108,서울,2017-08-13,26.3,24.2,733,28.4,1400,1.58,0,,0,,0
108,서울,2017-08-14,24.6,23.1,1945,27.1,1212,10.25,.5,1838,1,1820,1.5
108,서울,2017-08-15,21.9,20.8,2236,24,12,22.42,8.5,1035,35.5,1022,93.5
108,서울,2017-08-16,23.3,20.5,455,26.8,1426,7.92,.5,22,1.5,2145,2
108,서울,2017-08-17,24.8,21.2,341,27.7,1449,1.58,.5,255,.5,,.5
108,서울,2017-08-18,26.3,23.9,535,30.6,1620,.5,0,,0,,0
108,서울,2017-08-19,26.1,23.1,609,28.7,1359,5,0,,0,,0
108,서울,2017-08-20,23.2,22,726,25.8,1,22.75,13,2207,32.5,2117,124.5
108,서울,2017-08-21,25.8,23.7,1,29.2,1627,4.42,2,400,2.5,1350,5
108,서울,2017-08-22,27.3,23.4,610,31.5,1634,,,,,,
108,서울,2017-08-23,27.2,24.6,617,30.2,1459,9.92,6.5,853,16.5,849,31.5
108,서울,2017-08-24,26.5,23.9,2400,28.1,1206,11.42,3,1342,6.5,1255,14
108,서울,2017-08-25,25.3,22.2,604,30.6,1616,,,,,,
108,서울,2017-08-26,24.2,19,547,29.2,1548,,,,,,
108,서울,2017-08-27,22.7,19,520,26.7,1509,.75,0,,0,,0
108,서울,2017-08-28,21.5,18.3,2352,26.5,1143,5,2,1743,5.5,1706,9
108,서울,2017-08-29,19.5,17,2341,24,1607,,,,,,
108,서울,2017-08-30,19.8,16.1,554,23.9,1715,,,,,,
108,서울,2017-08-31,22.2,16.6,601,27.6,1519,,,,,,
108,서울,2017-09-01,23.3,17.1,626,29.7,1608,,,,,,
108,서울,2017-09-02,23.8,18.6,606,29.6,1432,,,,,,
108,서울,2017-09-03,23.7,19,603,29.2,1613,,,,,,
108,서울,2017-09-04,24.6,19.7,527,30.1,1433,,,,,,
108,서울,2017-09-05,21.9,20.4,530,23.7,1329,2.42,0,,0,,0
108,서울,2017-09-06,20.6,18.5,2338,24,1135,9.67,.5,1513,1,1423,2
108,서울,2017-09-07,22.4,17.8,354,27.5,1509,,,,,,
108,서울,2017-09-08,24.3,20.4,507,29.9,1541,,,,,,
108,서울,2017-09-09,23.8,19.2,622,28.2,1447,,,,,,
108,서울,2017-09-10,23,19.9,546,26.1,1441,4.67,.4,2339,.4,2249,.5
108,서울,2017-09-11,21.2,18.6,654,24.6,1647,10.33,2.5,215,9,153,24
108,서울,2017-09-12,22.1,17.7,608,27.9,1449,,,,,,
108,서울,2017-09-13,21.4,15.9,629,27.5,1526,,,,,,
108,서울,2017-09-14,22.4,14.8,642,29.5,1413,,,,,,
108,서울,2017-09-15,22.6,17.8,613,27.9,1534,,,,,,
108,서울,2017-09-16,22,16.7,623,27.6,1449,,,,,,
108,서울,2017-09-17,23.1,19,457,29.2,1458,,,,,,
108,서울,2017-09-18,21.9,16.4,637,27.6,1424,,,,,,
108,서울,2017-09-19,22.6,20.1,224,25.8,1442,1.5,5,2056,8,2009,8
108,서울,2017-09-20,19.5,14.1,630,24.9,1501,,,,,,
108,서울,2017-09-21,20.3,14.2,618,27,1527,,,,,,
108,서울,2017-09-22,20.6,15.4,533,26.8,1336,,,,,,
108,서울,2017-09-23,21.8,17.6,227,27.3,1423,.33,0,,0,,0
108,서울,2017-09-24,22.4,18.8,244,27.9,1403,.75,0,,0,,0
