지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2017-12-21,-.9,-5.6,735,4.6,1536,,,,,,
108,서울,2017-12-22,3.4,-1.9,20,6.6,1510,,,,,,
108,서울,2017-12-23,6.1,5,445,8.7,1404,,,,,,
108,서울,2017-12-24,2.9,-.6,2400,5.7,5,11.17,,,,,20
108,서울,2017-12-25,-2.1,-4.9,749,.6,1502,,,,,,
108,서울,2017-12-26,-3.8,-7.9,2356,-1.1,1157,,,,,,
108,서울,2017-12-27,-6.9,-10.3,826,-2.6,1517,,,,,,
108,서울,2017-12-28,-2.1,-6.8,222,.8,1248,2.25,,,,,0
108,서울,2017-12-29,2.1,-.4,2347,6,1423,.42,,,,,0
108,서울,2017-12-30,1.4,-1.2,330,4.5,1415,6.83,,,,,.7
108,서울,2017-12-31,-.3,-3.2,2356,3.3,1426,3.33,,,,,1
108,서울,2018-01-01,-1.3,-5.1,739,3.8,1538,,,,,,
108,서울,2018-01-02,-1.8,-4.3,2348,1.8,1345,,,,,,
108,서울,2018-01-03,-4.7,-7.1,804,-.4,1550,,,,,,
108,서울,2018-01-04,-4.7,-8.7,751,-.7,1519,,,,,,
108,서울,2018-01-05,-3,-5.6,306,1.6,1530,,,,,,
108,서울,2018-01-06,-2.8,-6.8,628,2.9,1539,,,,,,
108,서울,2018-01-07,-.8,-5.7,524,2.8,1501,,,,,,
108,서울,2018-01-08,1.3,-1.2,2352,4,1507,4.5,,,,,.9
108,서울,2018-01-09,-4.2,-6.1,837,-1.2,1,5.58,,,,,.5
108,서울,2018-01-10,-7.5,-10.3,2335,-4.8,1412,2.08,,,,,.3
108,서울,2018-01-11,-11.1,-13.6,2344,-7.4,1358,,,,,,
108,서울,2018-01-12,-10.2,-15.3,811,-5.4,1543,2.08,,,,,0
108,서울,2018-01-13,-4.4,-6.6,241,-1.2,1540,7.83,,,,,.4
108,서울,2018-01-14,.6,-4.4,1,5.4,1601,,,,,,
108,서울,2018-01-15,4.7,1.8,2359,7.7,1548,1.25,,,,,.2
108,서울,2018-01-16,3.5,.1,240,6.8,1324,1.25,,,,,0
108,서울,2018-01-17,4.5,2.4,703,8.7,1217,,,,,,
108,서울,2018-01-18,2.1,.3,2349,4.5,1446,.58,,,,,0
108,서울,2018-01-19,1,-2.5,756,5.5,1501,,,,,,
108,서울,2018-01-20,2.2,-1,137,6.9,1544,,,,,,
108,서울,2018-01-21,.4,-3.7,757,5.5,1404,,,,,,
108,서울,2018-01-22,.2,-5.3,2358,4,1303,6,,,,,3.3
108,서울,2018-01-23,-11.7,-14.6,2352,-5.3,1,,,,,,
